category,stock_code,stock_name

CashFlowAssets,600036,招商银行
CashFlowAssets,601398,工商银行
CashFlowAssets,601628,中国人寿
CashFlowAssets,600900,长江电力
CashFlowAssets,601088,中国神华
CashFlowAssets,600938,中国海油
CashFlowAssets,600941,中国移动

CoreSemiconductor,688981,中芯国际
CoreSemiconductor,002371,北方华创
CoreSemiconductor,688012,中微公司
CoreSemiconductor,301269,华大九天
CoreSemiconductor,688041,海光信息
CoreSemiconductor,603986,兆易创新

SemiconductorEcosystem,300308,中际旭创
SemiconductorEcosystem,300502,新易盛
SemiconductorEcosystem,002463,沪电股份
SemiconductorEcosystem,002916,深南电路
SemiconductorEcosystem,601138,工业富联
SemiconductorEcosystem,000977,浪潮信息
